"IBM.open"	"IBM.high"	"IBM.low"	"IBM.close"	"IBM.adjclose"	"IBM.volume"
"139"	114.879997	116.43	114.849998	116.379997	83.479454	8040900
"140"	115.32	117	115.019997	116.169998	83.328812	10499300
"141"	116.190002	118.379997	115.239998	118.099998	84.713165	11340000
"142"	117.010002	118.82	115.519997	116.529999	83.587021	16822100
"143"	116.620003	117.949997	115.620003	115.620003	82.934311	18138700
"144"	115	115.75	113.519997	114.519997	82.145264	15095400
"145"	114.720001	114.720001	110.019997	110.650002	79.369316	17816200
"146"	110.389999	112.730003	110.059998	112.040001	80.366341	12390300
"147"	112.099998	114.050003	111.5	113.230003	81.219955	11318900
"148"	113.239998	114.18	111.699997	111.889999	80.258751	9571300
"149"	111.970001	113.889999	111.699997	113.889999	81.693359	7245500
"150"	113.019997	114.169998	112.25	113.529999	81.435112	8021400
"151"	114.300003	114.599998	112.260002	112.980003	81.327156	7681400
"152"	110.769997	114.489998	110.730003	110.730003	79.707535	9086000
"153"	109.75	113.5	109.699997	112.639999	81.082413	9592200
"154"	112.989998	113.949997	112.309998	112.709999	81.132813	6135500
"155"	112.830002	113.150002	111.739998	112.050003	80.657722	5615600
"156"	111	112.849998	109.910004	111.230003	80.067429	11640200
"157"	110.980003	111.419998	103.699997	109.690002	78.9589	16723000
"158"	111.870003	112.669998	108.660004	110.900002	79.829895	15274600
"159"	110.900002	111.099998	109.129997	109.220001	78.620583	9839800
"160"	108.900002	110.110001	108.080002	109.040001	78.490997	8458500
"161"	110.089996	110.5	109.150002	110	79.182022	6329700
"162"	110.400002	111.68	110.010002	111.449997	80.225792	8271000
"163"	111.449997	113.25	110.809998	113.239998	81.514313	7058700
"164"	113	113.849998	112.800003	113.440002	81.658279	4921800
"165"	112.900002	113.589996	111.629997	112	80.621727	6006600
"166"	112.879997	114.980003	112.07	114.57	82.47168	7049800
"167"	113.620003	116	113.620003	115.370003	83.047577	7756100
"168"	115.989998	117.349998	115.550003	116.690002	83.997726	6883600
"169"	116.339996	118.889999	116.150002	118.190002	85.07753	8070500
"170"	117.480003	118.150002	116.550003	117.879997	84.854347	6555500
"171"	117.919998	118.75	116.239998	117.620003	84.667213	6778600
"172"	116.199997	116.970001	115.330002	115.550003	83.177139	7511700
"173"	116.150002	117.5	115.32	115.800003	83.357094	6118300
"174"	116.349998	117.779999	116.040001	117.349998	84.472839	8098700
"175"	116.949997	117.400002	115.690002	116	83.501053	6287200
"176"	116.300003	117	115.739998	115.949997	83.465065	4802700
"177"	115.050003	116	114.650002	115.129997	82.874809	6904400
"178"	114.699997	115.25	114.300003	114.519997	82.435699	5022400
"179"	115	116.779999	114.830002	116.629997	83.954544	7839500
"180"	116.900002	117.190002	115.779999	116.669998	83.983345	10311200
"181"	116.269997	117.650002	116.199997	116.860001	84.12014	5806400
"182"	117.889999	118.099998	116.349998	116.779999	84.062531	9097300
"183"	116.900002	117.43	115.849998	116.25	83.681	5734300
"184"	116.019997	117.589996	115.790001	116.510002	83.868164	7045200
"185"	116.940002	118.080002	116.75	117.300003	84.436836	6695200
"186"	117.5	118.209999	117.040001	117.709999	84.732002	5834500
"187"	117.139999	118.5	117.099998	117.800003	84.796783	7720200
"188"	117.610001	119.5	117.5	119.029999	85.68219	6777300
"189"	119.309998	119.599998	118.139999	118.360001	85.199883	6911500
"190"	117.650002	117.839996	116.279999	116.400002	83.788979	7914100
"191"	116.199997	116.75	115	115.690002	83.277908	6177500
"192"	116.169998	116.709999	115.470001	116.300003	83.717018	5749400
"193"	116.099998	118.230003	115.879997	117.769997	84.775169	4822900
"194"	117.849998	118.5	116.419998	118.300003	85.156693	5670600
"195"	118	118.800003	117.68	118.620003	85.387009	5913800
"196"	118.989998	121.459999	117.370003	118.050003	84.976715	13018800
"197"	118.5	118.889999	117.279999	117.809998	84.803947	5656200
"198"	117.949997	118.370003	116.75	118.029999	84.962296	6267300
"199"	118.019997	119.940002	117.5	119.599998	86.092484	11527300
"200"	118.010002	118.010002	114.150002	115.779999	83.342697	18100500
"201"	114.82	116.410004	114.440002	114.800003	82.637238	7736500
"202"	113.980003	114.93	111.800003	112.279999	80.823273	10327200
"203"	110.970001	113.879997	110.959999	113.370003	81.607903	7576900
"204"	113.779999	114.800003	113.5	114.68	82.55088	5562900
"205"	114.199997	114.449997	111.68	112.949997	81.305573	8072600
"206"	113.32	114.400002	111.690002	112.809998	81.204788	6519900
"207"	113	114	112.07	113.730003	81.867035	5030300
"208"	113.900002	115.010002	113.849998	114.800003	82.637238	5103200
"209"	114.5	114.900002	113.75	114.120003	82.147789	4015500
"210"	114.75	116.25	113.279999	116.120003	83.587433	7216800
"211"	115.5	116.089996	113.32	113.650002	81.809471	7594400
"212"	114.419998	115.150002	113.57	114.589996	82.486107	6114800
"213"	115.110001	115.110001	112.830002	113.400002	81.629494	7155300
"214"	113.489998	113.949997	111.669998	113.169998	81.463936	7299700
"215"	113.559998	113.639999	110.900002	111.080002	80.243057	7087000
"216"	105.650002	110.32	103.989998	106.110001	76.652786	23092200
"217"	104.919998	104.919998	99.269997	100.25	72.419579	18084100
"218"	101.889999	104.190002	100.699997	101.449997	73.286491	13553600
"219"	102.730003	105.739998	102.5	105.269997	76.045982	10777900
"220"	106.120003	106.419998	102.839996	103.440002	74.724022	8453600
"221"	103.239998	105.639999	103.050003	103.599998	74.839607	8023600
"222"	104.510002	105	103.25	104.790001	75.699272	9294000
"223"	104.339996	105.389999	101.339996	102.220001	73.84272	9502200
"224"	102.589996	104.970001	101.379997	103.419998	74.709564	8393400
"225"	101.410004	104.089996	101.410004	102.220001	73.84272	7097200
"226"	103.099998	104.139999	102.32	104.050003	75.16468	2827700
